시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
뮤지엄김치간,사립,서울특별시 종로구 인사동길 35-4(관훈동),,37.573514,126.9848673,02-6002-6256,뮤지엄김치간,https://www.kimchikan.com/,,10:00,18:00,10:00,18:00,월요일+1월 1일+설연휴+추석연휴+크리스마스,5000,3000,2000,,,,02-6002-6256,뮤지엄김치간,2024-10-02
불교중앙박물관,사립,서울특별시 종로구 우정국로 55,,37.57389395,126.9818833,02-2011-1960,불교중앙박물관,http://museum.buddhism.or.kr/,,09:00,18:00,09:00,18:00,"월요일+명절(1.1, 설날, 추석)",0,0,0,,,,02-2011-1960,불교중앙박물관,2024-10-02
신문박물관,사립,서울특별시 종로구 세종대로 152,,37.56986758,126.9776553,02-2020-1830,신문박물관,http://presseum.or.kr/,,09:00,18:00,09:00,18:00,"월요일+명절(1.1, 설날, 추석)+봄·가을정기 휴관(3월, 9월 첫째주 화~일요일)",3000,2000,0,,,,02-2020-1830,신문박물관,2024-10-02
영인문학관,사립,서울특별시 종로구 평창30길 81(평창동),,37.6118922,126.9717578,02-379-3182,영인문학관,http://young-in.kr/,,10:30,17:00,10:30,17:00,월요일,0,0,0,기금 및 기증,,,02-379-3182,영인문학관,2024-10-02
의학박물관,사립,서울특별시 종로구 대학로 101,,37.58045239,126.9971964,02-2072-2636,서울대학교병원 의학박물관,http://medicalmuseum.org/,,09:00,18:00,00:00,00:00,일요일+공휴일+근로자의 날(5/1)+개원기념일 (10/15),0,0,0,,,,02-2072-2636,의학박물관,2024-10-02
화정박물관,사립,서울특별시 종로구 평창8길 3(평창동),,37.604561,126.9660819,02-2075-0114,화정박물관,http://www.hjmuseum.or.kr/museum/main.asp,,09:00,18:00,09:00,18:00,"월요일+명절(1.1, 설날, 추석)",3000,2000,1000,,,,02-2075-0114,화정박물관,2024-10-02
가회민화박물관,사립,서울특별시 종로구 북촌로12길 17(가회동),,37.58214037,126.9856536,02-741-0466,가회민화박물관,http://www.gahoemuseum.org/,,10:00,18:00,10:00,18:00,월요일,2000,1000,1000,,,,02-741-0466,가회민화박물관,2024-10-02
김달진미술자료박물관,사립,서울특별시 종로구 홍지문1길 4(홍지동),,37.600016,126.9566605,02-730-6216,김달진미술자료박물관,http://www.daljin.com/,,10:00,17:00,00:00,00:00,일요일+공휴일,0,0,0,단체관람시 사전예약,,,02-730-6216,김달진미술자료박물관,2024-10-02
떡박물관,사립,서울특별시 종로구 돈화문로 71(와룡동),,37.57489958,126.9906359,02-741-5447,떡박물관,http://www.tkmuseum.or.kr/,,10:00,18:00,12:00,18:00,"명절(1.1, 설날, 추석 당일)",3000,2000,2000,,,,02-741-5447,떡박물관,2024-10-02
명인박물관,사립,서울특별시 종로구 북촌로6길 1(가회동),,37.58016533,126.9851875,02-766-0272,명인박물관,,,10:00,18:00,10:00,18:00,일요일+월요일,3000,1000,1000,,,,02-766-0272,명인박물관,2024-10-02
보나장신구박물관,사립,서울특별시 종로구 인사동9길 9(관훈동),,37.573542,126.9845504,02-732-6621,보나장신구박물관,http://www.bonamuseum.com/,,10:30,18:30,12:00,18:00,"월요일+명절(1.1, 설날, 추석)",5000,4000,3000,,,,02-732-6621,보나장신구박물관,2024-10-02
북촌동양문화박물관,사립,서울특별시 종로구 북촌로11길 76(삼청동),,37.583986,126.9833708,02-723-0190,북촌동양문화박물관,http://www.dymuseum.com/,,10:00,18:00,10:00,18:00,월요일,5000,3000,2000,,,,02-723-0190,북촌동양문화박물관,2024-10-02
북촌박물관,사립,서울특별시 종로구 북촌로 39,,37.58043197,126.9847663,02-766-8402,북촌박물관,https://bukchonmuseum.modoo.at,,10:00,18:00,10:00,18:00,월요일,3000,2000,0,,,,02-766-8402,북촌박물관,2024-10-02
북촌생활사박물관,사립,서울특별시 종로구 북촌로5나길 90(삼청동),,37.584425,126.9829948,02-736-3957,북촌생활사박물관,http://cafe.daum.net/namu3579,,10:00,19:00,10:00,19:00,연중무휴,5000,3000,0,,,,02-736-3957,북촌생활사박물관,2024-10-02
삼성출판박물관,사립,서울특별시 종로구 비봉길 2-2(구기동),,37.608605,126.9570767,02-394-6544,삼성출판박물관,http://ssmop.org/,,10:00,17:00,00:00,00:00,토요일+일요일+공휴일,3000,2000,0,,,,02-394-6544,삼성출판박물관,2024-10-02
세계장신구박물관,사립,서울특별시 종로구 북촌로5나길 2(화동),,37.580936,126.9818046,02-730-1610,세계장신구박물관,http://www.wjmuseum.com/,,11:00,17:00,11:00,17:00,월요일+화요일,7000,5000,3000,,,,02-730-1610,세계장신구박물관,2024-10-02
쇳대박물관,사립,서울특별시 종로구 이화장길 100(동숭동),,37.57980578,127.0046144,02-766-6494,쇳대박물관,http://ehwadong.com,,10:00,18:00,10:00,18:00,월요일,4000,3000,3000,,,,02-766-6494,쇳대박물관,2024-10-02
쉼박물관,사립,서울특별시 종로구 세검정로 209-17(홍지동),,37.59950405,126.9556778,02-396-9277,쉼박물관,http://www.shuim.org/,,10:00,18:00,14:00,19:00,"월요일+명절(1.1, 설날, 추석)",10000,5000,5000,,,,02-396-9277,쉼박물관,2024-10-02
유금와당박물관,사립,서울특별시 종로구 창의문로11가길 4(부암동),,37.5937185,126.9626563,02-394-3451,유금와당박물관,http://yoogeum.org/,,10:00,17:00,00:00,00:00,월요일+일요일+공휴일,5000,3000,0,"일반관람 : 수요일, 토요일, 예약관람 : 화요일, 목요일, 금요일",,,02-394-3451,유금와당박물관,2024-10-02
춘원당한방박물관,사립,서울특별시 종로구 돈화문로9길 27(낙원동),,37.5715019,126.9902424,02-367-2005,춘원당한방박물관,www.cwdmuseum.com,,09:00,18:00,09:00,18:00,"월요일+명절(1.1, 설날, 추석)",0,0,0,,,,02-367-2005,춘원당한방박물관,2024-10-02
한국색동박물관,사립,서울특별시 종로구 율곡로10길 85-7(권농동),,37.573843,126.9920895,02-765-9286,한국색동박물관,www.saekdongmuseum.com,,10:30,18:00,00:00,00:00,월요일+일요일+공휴일,3000,2000,2000,,,,02-765-9286,한국색동박물관,2024-10-02
상명대학교박물관,사립,서울특별시 종로구 평창문화로 151(평창동),,37.61058485,126.975763,02-781-7920,상명대학교박물관,http://museum.smu.ac.kr/,,10:00,17:00,00:00,00:00,토요일+일요일+공휴일+개교기념일,0,0,0,,,,02-781-7920,상명대학교박물관,2024-10-02
짚풀생활사박물관,사립,서울특별시 종로구 성균관로4길 45(명륜2가),,37.58490549,126.9998415,02-743-8787,짚풀생활사박물관,http://www.jipul.com,,10:00,17:30,10:00,17:30,월요일+명절,5000,4000,4000,,,,02-743-8787,짚풀생활사박물관,2024-10-02
한무숙문학관,사립,서울특별시 종로구 혜화로9길 20(명륜1가),,37.58780091,126.9985915,02-732-3093,한무숙문학관,http://www.hahnmoosook.com/,,10:00,17:00,00:00,00:00,일요일+공휴일,0,0,0,예약제므로 미리 연락,,,02-732-3093,한무숙문학관,2024-10-02
서울대학교 치의학대학원 치의학박물관,사립,서울특별시 종로구 대학로 101(연건동),,37.58045239,126.9971964,02-740-8799,서울대학교 치의학대학원 치의학박물관,https://dentistry.snu.ac.kr/intro/incorgan/museum/,,10:00,17:00,00:00,00:00,토요일+일요일+공휴일+개교기념일(10.15.),0,0,0,,,,02-740-8799,서울대학교 치의학대학원 치의학박물관,2024-10-02
성균관대학교 박물관,사립,서울특별시 종로구 성균관로 25-2(명륜3가),,37.58722985,126.9931161,02-760-1216,성균관대학교 박물관,https://swb.skku.edu/museum/,,10:00,16:00,00:00,00:00,토요일+일요일+공휴일+개교기념일(9.25.),0,0,0,,,,02-760-1216,성균관대학교 박물관,2024-10-02
국립현대미술관(서울관),국립,서울특별시 종로구 삼청로 30,,37.57862929,126.9800889,02-3701-9500,국립현대미술관(서울관),http://www.mmca.go.kr/main.do,,10:00,18:00,10:00,18:00,1.1+설날연휴+추석연휴,0,0,0,전시마다 상이,,,02-3701-9500,국립현대미술관(서울관),2024-10-02
박노수미술관,공립,서울특별시 종로구 옥인1길 34,,37.5813192,126.966815,02-2148-4171,종로구립박노수미술관,https://www.jfac.or.kr/,,10:00,18:00,10:00,18:00,월요일,3000,1800,1200,,,,02-2148-4171,서울특별시 종로구청,2024-10-02
고희동미술관,공립,서울특별시 종로구 창덕궁5길 40,,37.58318236,126.988957,02-741-8424,종로구립고희동미술관,https://www.youtube.com/channel/UCUjiu1QeaohL_PTJioDAtpQ,,10:00,18:00,10:00,18:00,화요일,0,0,0,체험료,,,02-741-8424,서울특별시 종로구청,2024-10-02
OCI 미술관,사립,서울특별시 종로구 우정국로 45-14,,37.57323807,126.982131,02-734-0440,OCI 미술관,http://www.ocimuseum.org/,,10:00,18:00,00:00,00:00,일요일+월요일+공휴일,0,0,0,,,,02-734-0440,OCI 미술관,2024-10-02
JCC미술관,사립,서울특별시 종로구 창경궁로35길 29,,37.58716156,127.0018885,02-2138-7373,JCC미술관,http://www.jeijcc.org/,,10:00,18:00,10:00,18:00,월+설날연휴+추석연휴,0,0,0,전시마다 상이,,,02-2138-7373,JCC미술관,2024-10-02
금호미술관,사립,서울특별시 종로구 삼청로 18,,37.57746518,126.9799126,02-720-5114,금호미술관,http://www.kumhomuseum.com/,,10:00,18:00,10:00,18:00,월요일+설날연휴+추석연휴,0,0,0,전시마다 상이,,,02-720-5114,금호미술관,2024-10-02
상원미술관,사립,서울특별시 종로구 평창31길 27,,37.61162656,126.976541,02-396-3185,상원미술관,http://www.imageroot.co.kr/,,10:30,17:30,00:00,00:00,일요일+월요일+공휴일,2000,1000,1000,,,,02-396-3185,상원미술관,2024-10-02
성곡미술관,사립,서울특별시 종로구 경희궁길 42,,37.57350943,126.969703,02-737-7650,성곡미술관,http://www.sungkokmuseum.org/,,10:00,18:00,10:00,18:00,월요일,5000,3000,2000,,,,02-737-7650,성곡미술관,2024-10-02
세종문화회관 미술관(세종미술관),사립,서울특별시 종로구 세종대로 175,,37.57184786,126.9761683,02-399-1156,세종문화회관 미술관(세종미술관),http://sejongpac.or.kr,,10:30,20:00,10:30,20:00,연중무휴,0,0,0,전시마다 상이,,,02-399-1156,세종문화회관 미술관(세종미술관),2024-10-02
아라리오뮤지엄 인스페이스,사립,서울특별시 종로구 율곡로 83,,37.57776184,126.9884166,02-736-5700,아라리오뮤지엄 인스페이스,http://www.arariomuseum.org/,,10:00,19:00,10:00,19:00,월요일,15000,9000,6000,,,,02-736-5700,아라리오뮤지엄 인스페이스,2024-10-02
아르코미술관,사립,서울특별시 종로구 동숭길 3,,37.58050139,127.003256,02-760-4850,아르코미술관,https://www.arko.or.kr/artcenter/,,11:00,19:00,11:00,19:00,월+신정+추석당일+설날 당일,0,0,0,,,,02-760-4850,아르코미술관,2024-10-02
아트선재센터,사립,서울특별시 종로구 율곡로3길 87,,37.57946209,126.981877,02-733-8945,아트선재센터,http://www.artsonje.org/,,12:00,19:00,12:00,19:00,월요일+신정+구정+설날 연휴,5000,3000,0,,,,02-733-8945,아트선재센터,2024-10-02
아트센터 나비 미술관,사립,서울특별시 종로구 종로 26,,37.56969128,126.980341,02-2121-1031,아트센터 나비 미술관,http://www.nabi.or.kr/,,11:00,18:00,00:00,00:00,토요일+일요일+공휴일,0,0,0,,,,02-2121-1031,아트센터 나비 미술관,2024-10-02
일민미술관,사립,서울특별시 종로구 세종대로 152,,37.56986758,126.9776553,02-2020-2050,일민미술관,http://www.ilmin.org/,,11:00,19:00,11:00,19:00,월요일,0,0,0,전시마다 상이,,,02-2020-2050,일민미술관,2024-10-02
자하미술관,사립,서울특별시 종로구 창의문로5가길 46,,37.58937855,126.960398,02-395-3222,자하미술관,https://www.zahamuseum.org/,,10:00,18:00,10:00,18:00,월요일,0,0,0,전시마다 상이,,,02-395-3222,자하미술관,2024-10-02
토탈미술관,사립,서울특별시 종로구 평창32길 8,,37.61212012,126.9756765,02-379-7037,토탈미술관,http://www.totalmuseum.org/,,11:00,18:00,11:00,18:00,월요일,5000,3000,3000,,,,02-379-7037,토탈미술관,2024-10-02
학아재미술관,사립,서울특별시 종로구 돈화문로 98,,37.577059,126.9904047,02-766-7647,학아재미술관,http://www.seoulscm.com/museum/345,,11:00,18:00,11:00,18:00,목요일,0,0,0,전시마다 상이,,,02-766-7647,학아재미술관,2024-10-02
환기미술관,사립,서울특별시 종로구 자하문로 40길 63,,37.59408714,126.966112,02-391-7701,환기미술관,http://whankimuseum.org/,,10:00,18:00,10:00,18:00,월요일,15000,7500,7500,,,,02-391-7701,환기미술관,2024-10-02
세화미술관,사립,"서울특별시 종로구 새문안로 68, 3층",,37.56964296,126.972186,02-2002-7785,세화미술관,www.sehwamuseum.org,,10:00,18:00,10:00,18:00,월요일+공휴일,0,0,0,전시마다 상이,,,02-2002-7785,세화미술관,2024-10-02
대림미술관,사립,서울특별시 종로구 자하문로 4길 21,,37.57750352,126.9733647,02-720-0667,대림미술관,http://www.daelimmuseum.org/,,11:00,20:00,11:00,20:00,월요일+추석 연휴,18000,9000,6000,,,,02-720-0667,대림미술관,2024-10-02
