주소1,주소2,주소3,인구,면적(km²),안전,여가,식당,의료,마트,편의 시설
서울특별시,구로구,구로2동,28743,1.76,57.0,26.0,33.0,30.0,31.0,26.0
서울특별시,구로구,구로3동,24720,1.02,56.0,33.0,47.0,37.0,57.0,34.0
서울특별시,구로구,구로4동,22118,0.46,59.0,30.0,53.0,55.0,48.0,37.0
서울특별시,구로구,구로5동,31697,1.03,56.0,38.0,38.0,34.0,40.0,27.0
서울특별시,구로구,수궁동,22873,2.67,55.0,23.0,23.0,23.0,26.0,23.0
서울특별시,구로구,신도림동,36327,1.47,55.0,28.0,27.0,29.0,31.0,24.0
서울특별시,구로구,오류1동,23270,0.59,57.0,31.0,32.0,40.0,45.0,33.0
서울특별시,구로구,오류2동,36714,3.2,55.0,24.0,24.0,23.0,26.0,22.0
서울특별시,구로구,항동,16418,1.4,55.0,27.0,23.0,25.0,29.0,22.0
서울특별시,금천구,가산동,27368,2.52,41.0,33.0,40.0,28.0,52.0,37.0
서울특별시,금천구,독산1동,49008,2.09,41.0,27.0,29.0,25.0,34.0,27.0
서울특별시,금천구,독산2동,18793,0.6,44.0,26.0,35.0,34.0,36.0,25.0
서울특별시,금천구,독산3동,26288,0.92,43.0,27.0,36.0,32.0,35.0,27.0
서울특별시,금천구,독산4동,15840,0.59,44.0,28.0,35.0,30.0,34.0,27.0
서울특별시,금천구,시흥1동,33414,1.71,42.0,32.0,34.0,30.0,34.0,28.0
서울특별시,금천구,시흥2동,20334,1.26,41.0,22.0,22.0,24.0,21.0,21.0
서울특별시,금천구,시흥3동,10314,1.07,41.0,24.0,25.0,25.0,26.0,25.0
서울특별시,금천구,시흥4동,19442,0.87,42.0,23.0,26.0,28.0,27.0,25.0
서울특별시,금천구,시흥5동,18269,1.39,42.0,24.0,27.0,26.0,29.0,23.0
서울특별시,노원구,공릉1동,36339,1.41,72.0,29.0,37.0,32.0,38.0,26.0
서울특별시,노원구,공릉2동,42337,6.82,68.0,24.0,24.0,22.0,24.0,21.0
서울특별시,노원구,상계10동,17972,0.8,68.0,23.0,22.0,29.0,24.0,23.0
서울특별시,노원구,상계1동,36588,5.62,68.0,25.0,24.0,22.0,25.0,22.0
서울특별시,노원구,상계2동,19053,0.61,74.0,38.0,55.0,45.0,53.0,24.0
서울특별시,노원구,상계3·4동,27266,5.05,68.0,23.0,22.0,22.0,22.0,21.0
서울특별시,노원구,상계5동,22752,1.01,73.0,29.0,32.0,31.0,33.0,23.0
서울특별시,노원구,상계6·7동,31174,1.11,70.0,32.0,30.0,38.0,33.0,35.0
서울특별시,노원구,상계8동,21594,0.67,69.0,25.0,24.0,33.0,27.0,24.0
서울특별시,노원구,상계9동,19317,0.81,68.0,24.0,23.0,31.0,29.0,24.0
서울특별시,노원구,월계1동,21162,1.16,72.0,28.0,31.0,30.0,36.0,24.0
서울특별시,노원구,월계2동,25359,1.94,69.0,22.0,23.0,25.0,26.0,21.0
서울특별시,노원구,월계3동,28430,1.17,68.0,22.0,23.0,27.0,30.0,22.0
서울특별시,노원구,중계1동,26260,0.63,69.0,28.0,27.0,38.0,38.0,27.0
서울특별시,노원구,중계2·3동,31858,0.9,69.0,27.0,26.0,32.0,30.0,25.0
서울특별시,노원구,중계4동,19064,1.7,69.0,28.0,26.0,26.0,25.0,23.0
서울특별시,노원구,중계본동,22671,1.97,69.0,27.0,25.0,25.0,25.0,22.0
서울특별시,노원구,하계1동,26430,1.55,69.0,25.0,25.0,26.0,27.0,23.0
서울특별시,노원구,하계2동,20926,0.51,68.0,21.0,23.0,33.0,28.0,22.0
서울특별시,도봉구,도봉1동,19780,8.72,60.0,24.0,25.0,21.0,23.0,21.0
서울특별시,도봉구,도봉2동,26148,0.83,60.0,26.0,29.0,30.0,31.0,26.0
서울특별시,도봉구,방학1동,27540,0.69,60.0,40.0,48.0,41.0,44.0,34.0
서울특별시,도봉구,방학2동,18303,0.74,60.0,23.0,31.0,30.0,34.0,21.0
서울특별시,도봉구,방학3동,25917,2.62,60.0,24.0,22.0,23.0,24.0,21.0
서울특별시,도봉구,쌍문1동,21042,1.24,60.0,26.0,26.0,26.0,29.0,22.0
서울특별시,도봉구,쌍문2동,17816,0.54,60.0,33.0,37.0,40.0,39.0,26.0
서울특별시,도봉구,쌍문3동,16416,0.5,60.0,34.0,34.0,37.0,41.0,27.0
서울특별시,도봉구,쌍문4동,17927,0.52,60.0,24.0,25.0,33.0,32.0,21.0
서울특별시,도봉구,창1동,23946,0.88,60.0,28.0,30.0,30.0,31.0,23.0
서울특별시,도봉구,창2동,28001,1.05,60.0,26.0,28.0,28.0,32.0,23.0
서울특별시,도봉구,창3동,13019,0.67,60.0,26.0,33.0,33.0,32.0,22.0
서울특별시,도봉구,창4동,26405,0.95,60.0,27.0,26.0,31.0,28.0,24.0
서울특별시,도봉구,창5동,23772,0.7,60.0,35.0,36.0,36.0,39.0,29.0
서울특별시,동대문구,답십리1동,28279,0.81,55.0,27.0,32.0,40.0,38.0,29.0
서울특별시,동대문구,답십리2동,27438,0.85,56.0,29.0,31.0,38.0,38.0,32.0
서울특별시,동대문구,용신동,40422,1.61,55.0,28.0,35.0,32.0,41.0,31.0
서울특별시,동대문구,이문1동,20300,1.04,55.0,27.0,34.0,34.0,36.0,27.0
서울특별시,동대문구,이문2동,19732,0.69,55.0,22.0,26.0,36.0,30.0,26.0
서울특별시,동대문구,장안1동,37868,1.25,56.0,34.0,39.0,35.0,43.0,30.0
서울특별시,동대문구,장안2동,33304,1.09,55.0,34.0,39.0,37.0,43.0,28.0
서울특별시,동대문구,전농1동,33761,1.19,55.0,26.0,35.0,32.0,33.0,27.0
서울특별시,동대문구,전농2동,18117,0.86,55.0,26.0,27.0,34.0,29.0,24.0
서울특별시,동대문구,제기동,25461,1.18,56.0,27.0,37.0,38.0,35.0,31.0
서울특별시,동대문구,청량리동,19130,1.2,55.0,27.0,30.0,34.0,28.0,27.0
서울특별시,동대문구,회기동,13517,0.76,55.0,30.0,42.0,34.0,39.0,29.0
서울특별시,동대문구,휘경1동,16027,0.63,55.0,28.0,31.0,41.0,42.0,28.0
서울특별시,동대문구,휘경2동,25247,1.05,55.0,25.0,27.0,30.0,31.0,23.0
서울특별시,동작구,노량진1동,33626,1.58,61.0,27.0,30.0,26.0,33.0,25.0
서울특별시,동작구,노량진2동,8938,0.64,62.0,26.0,34.0,31.0,36.0,33.0
서울특별시,동작구,대방동,35337,1.55,61.0,27.0,28.0,28.0,33.0,24.0
서울특별시,동작구,사당1동,22821,0.79,62.0,30.0,41.0,34.0,41.0,28.0
서울특별시,동작구,사당2동,28188,2.75,61.0,24.0,26.0,24.0,25.0,22.0
서울특별시,동작구,사당3동,23701,0.92,61.0,26.0,26.0,27.0,30.0,22.0
서울특별시,동작구,사당4동,13881,0.38,63.0,24.0,32.0,39.0,38.0,32.0
서울특별시,동작구,사당5동,14191,0.57,62.0,24.0,25.0,28.0,32.0,23.0
서울특별시,동작구,상도1동,46256,1.51,61.0,27.0,32.0,29.0,37.0,24.0
서울특별시,동작구,상도2동,27632,0.98,61.0,27.0,29.0,32.0,32.0,28.0
서울특별시,동작구,상도3동,24047,0.6,63.0,28.0,31.0,33.0,33.0,25.0
서울특별시,동작구,상도4동,29339,0.75,62.0,26.0,30.0,31.0,34.0,24.0
서울특별시,동작구,신대방1동,24929,0.62,62.0,24.0,32.0,34.0,33.0,25.0
서울특별시,동작구,신대방2동,22106,1.03,61.0,30.0,30.0,28.0,34.0,26.0
서울특별시,동작구,흑석동,32360,1.68,61.0,25.0,29.0,27.0,28.0,25.0
서울특별시,마포구,공덕동,36784,1.01,43.0,30.0,36.0,33.0,36.0,33.0
서울특별시,마포구,대흥동,16139,0.88,42.0,29.0,37.0,37.0,39.0,31.0
서울특별시,마포구,도화동,20761,0.62,42.0,34.0,43.0,38.0,42.0,32.0
서울특별시,마포구,망원1동,19075,1.14,41.0,27.0,40.0,29.0,32.0,24.0
서울특별시,마포구,망원2동,17760,0.67,42.0,26.0,37.0,31.0,37.0,27.0
서울특별시,마포구,상암동,30191,8.4,40.0,24.0,25.0,21.0,24.0,23.0
서울특별시,마포구,서강동,25233,1.45,42.0,29.0,34.0,25.0,32.0,24.0
서울특별시,마포구,서교동,25986,1.65,43.0,55.0,74.0,35.0,61.0,35.0
서울특별시,마포구,성산1동,18893,0.8,42.0,33.0,34.0,28.0,39.0,26.0
서울특별시,마포구,성산2동,38913,2.07,41.0,27.0,26.0,23.0,29.0,23.0
서울특별시,마포구,신수동,22549,0.78,42.0,27.0,32.0,28.0,33.0,25.0
서울특별시,마포구,아현동,29661,0.76,42.0,30.0,31.0,39.0,34.0,31.0
서울특별시,마포구,연남동,15045,0.65,42.0,31.0,62.0,29.0,43.0,24.0
서울특별시,마포구,염리동,17698,0.43,44.0,30.0,39.0,33.0,35.0,25.0
서울특별시,마포구,용강동,21663,0.84,42.0,37.0,35.0,32.0,39.0,33.0
서울특별시,마포구,합정동,16394,1.69,41.0,29.0,37.0,25.0,33.0,24.0
서울특별시,서대문구,남가좌1동,16913,0.51,54.0,26.0,30.0,35.0,32.0,28.0
서울특별시,서대문구,남가좌2동,30335,0.77,55.0,31.0,37.0,35.0,43.0,27.0
서울특별시,서대문구,북가좌1동,17537,0.55,55.0,22.0,26.0,31.0,32.0,23.0
서울특별시,서대문구,북가좌2동,30554,0.84,56.0,28.0,34.0,32.0,42.0,27.0
서울특별시,서대문구,북아현동,15707,0.46,55.0,25.0,30.0,34.0,35.0,30.0
서울특별시,서대문구,신촌동,27493,2.63,55.0,28.0,38.0,25.0,39.0,29.0
서울특별시,서대문구,연희동,37050,3.05,55.0,26.0,29.0,23.0,29.0,25.0
서울특별시,서대문구,천연동,16726,0.97,55.0,24.0,27.0,28.0,29.0,25.0
서울특별시,서대문구,충현동,19929,1.12,55.0,26.0,36.0,27.0,36.0,31.0
서울특별시,서대문구,홍은1동,22261,1.58,55.0,23.0,25.0,25.0,28.0,22.0
서울특별시,서대문구,홍은2동,29229,2.06,55.0,26.0,26.0,23.0,30.0,23.0
서울특별시,서대문구,홍제1동,24825,1.23,55.0,26.0,27.0,28.0,32.0,23.0
서울특별시,서대문구,홍제2동,12446,1.05,54.0,25.0,25.0,26.0,26.0,22.0
서울특별시,서대문구,홍제3동,17617,0.81,56.0,28.0,32.0,31.0,33.0,26.0
서울특별시,서초구,내곡동,16927,12.68,48.0,21.0,21.0,21.0,22.0,21.0
서울특별시,서초구,반포1동,34144,1.0,52.0,28.0,30.0,35.0,36.0,26.0
서울특별시,서초구,반포2동,26603,1.35,50.0,22.0,21.0,27.0,23.0,23.0
서울특별시,서초구,반포3동,24024,1.28,49.0,25.0,24.0,31.0,24.0,26.0
서울특별시,서초구,반포4동,19238,1.43,53.0,34.0,31.0,30.0,34.0,32.0
서울특별시,서초구,반포본동,235,1.01,61.0,30.0,39.0,67.0,61.0,34.0
서울특별시,서초구,방배1동,16570,0.7,56.0,40.0,36.0,41.0,41.0,31.0
서울특별시,서초구,방배2동,17997,1.93,53.0,27.0,29.0,27.0,28.0,23.0
서울특별시,서초구,방배3동,15849,2.4,49.0,25.0,23.0,25.0,25.0,23.0
서울특별시,서초구,방배4동,23040,0.98,55.0,40.0,34.0,36.0,31.0,27.0
서울특별시,서초구,방배본동,20248,0.67,56.0,40.0,38.0,40.0,38.0,33.0
서울특별시,서초구,서초1동,20408,1.42,52.0,39.0,34.0,33.0,38.0,29.0
서울특별시,서초구,서초2동,25129,1.24,52.0,38.0,35.0,39.0,39.0,36.0
서울특별시,서초구,서초3동,32370,2.93,51.0,42.0,35.0,30.0,36.0,32.0
서울특별시,서초구,서초4동,30533,0.88,53.0,37.0,35.0,49.0,39.0,32.0
서울특별시,서초구,양재1동,41515,5.76,50.0,27.0,26.0,23.0,26.0,24.0
서울특별시,서초구,양재2동,21288,7.58,50.0,26.0,28.0,23.0,27.0,24.0
서울특별시,서초구,잠원동,26958,1.76,50.0,27.0,29.0,28.0,29.0,26.0
서울특별시,성동구,금호1가동,14680,0.46,69.0,32.0,27.0,31.0,29.0,29.0
서울특별시,성동구,금호2·3가동,21329,0.64,70.0,28.0,33.0,32.0,33.0,26.0
서울특별시,성동구,금호4가동,14235,0.84,69.0,26.0,27.0,26.0,28.0,25.0
서울특별시,성동구,마장동,22074,1.05,70.0,27.0,29.0,26.0,30.0,28.0
서울특별시,성동구,사근동,14134,1.1,69.0,29.0,34.0,24.0,38.0,25.0
서울특별시,성동구,성수1가1동,15501,1.97,68.0,26.0,28.0,22.0,27.0,24.0
서울특별시,성동구,성수1가2동,11927,0.89,69.0,32.0,45.0,27.0,36.0,28.0
서울특별시,성동구,성수2가1동,14610,1.17,69.0,28.0,37.0,27.0,34.0,27.0
서울특별시,성동구,성수2가3동,9884,1.03,69.0,41.0,51.0,30.0,53.0,36.0
서울특별시,성동구,송정동,9900,0.75,70.0,23.0,26.0,24.0,27.0,22.0
서울특별시,성동구,옥수동,25548,1.94,67.0,24.0,24.0,24.0,24.0,23.0
서울특별시,성동구,왕십리2동,16333,0.41,70.0,26.0,32.0,32.0,38.0,25.0
서울특별시,성동구,왕십리도선동,26544,0.72,69.0,31.0,41.0,34.0,44.0,32.0
서울특별시,성동구,용답동,13044,2.31,68.0,25.0,26.0,23.0,26.0,24.0
서울특별시,성동구,응봉동,14798,0.57,69.0,25.0,23.0,27.0,24.0,24.0
서울특별시,성동구,행당1동,14032,0.59,70.0,35.0,37.0,38.0,41.0,34.0
서울특별시,성동구,행당2동,22716,0.42,69.0,23.0,26.0,31.0,32.0,27.0
서울특별시,성북구,길음1동,35706,0.79,68.0,27.0,27.0,35.0,31.0,26.0
서울특별시,성북구,길음2동,21518,0.58,69.0,28.0,32.0,40.0,35.0,27.0
서울특별시,성북구,돈암1동,14146,0.49,69.0,27.0,25.0,33.0,28.0,22.0
서울특별시,성북구,돈암2동,23351,0.48,68.0,31.0,24.0,33.0,33.0,24.0
서울특별시,성북구,동선동,15985,0.73,70.0,45.0,50.0,39.0,41.0,30.0
서울특별시,성북구,보문동,16482,0.56,70.0,28.0,33.0,32.0,39.0,29.0
서울특별시,성북구,삼선동,22569,0.92,69.0,38.0,38.0,33.0,38.0,33.0
서울특별시,성북구,석관동,34434,1.73,69.0,29.0,30.0,27.0,30.0,24.0
서울특별시,성북구,성북동,16401,2.86,68.0,31.0,26.0,24.0,26.0,23.0
서울특별시,성북구,안암동,17792,1.33,69.0,28.0,35.0,26.0,36.0,25.0
서울특별시,성북구,월곡1동,25434,0.81,69.0,27.0,30.0,32.0,32.0,26.0
서울특별시,성북구,월곡2동,19434,1.36,68.0,26.0,32.0,28.0,32.0,26.0
서울특별시,성북구,장위1동,23300,0.7,72.0,26.0,30.0,30.0,35.0,25.0
서울특별시,성북구,장위2동,13142,0.67,70.0,23.0,32.0,34.0,30.0,27.0
서울특별시,성북구,장위3동,15520,0.65,69.0,24.0,24.0,30.0,31.0,23.0
서울특별시,성북구,정릉1동,17850,0.44,70.0,30.0,32.0,38.0,40.0,26.0
서울특별시,성북구,정릉2동,22428,1.17,69.0,28.0,26.0,28.0,29.0,24.0
서울특별시,성북구,정릉3동,15893,3.71,68.0,22.0,23.0,21.0,24.0,21.0
서울특별시,성북구,정릉4동,24422,3.13,68.0,26.0,24.0,23.0,23.0,22.0
서울특별시,성북구,종암동,39230,1.46,69.0,28.0,30.0,28.0,33.0,26.0
서울특별시,송파구,가락1동,27652,1.34,54.0,22.0,23.0,30.0,25.0,24.0
서울특별시,송파구,가락2동,30961,0.96,57.0,32.0,33.0,43.0,38.0,25.0
서울특별시,송파구,가락본동,25081,1.13,56.0,35.0,40.0,40.0,41.0,30.0
서울특별시,송파구,거여1동,11919,0.51,58.0,30.0,33.0,47.0,41.0,23.0
서울특별시,송파구,거여2동,23417,0.53,57.0,33.0,29.0,52.0,40.0,26.0
서울특별시,송파구,마천1동,16313,0.58,58.0,26.0,31.0,46.0,41.0,27.0
서울특별시,송파구,마천2동,17423,0.89,58.0,28.0,31.0,41.0,34.0,26.0
서울특별시,송파구,문정1동,19882,0.56,57.0,35.0,37.0,47.0,43.0,25.0
서울특별시,송파구,문정2동,28915,2.2,54.0,30.0,30.0,30.0,33.0,27.0
서울특별시,송파구,방이1동,15105,0.5,58.0,41.0,42.0,54.0,46.0,26.0
서울특별시,송파구,방이2동,26808,0.8,58.0,40.0,50.0,51.0,48.0,32.0
서울특별시,송파구,삼전동,29090,0.95,58.0,35.0,37.0,41.0,39.0,27.0
서울특별시,송파구,석촌동,30954,0.95,58.0,38.0,46.0,47.0,51.0,27.0
서울특별시,송파구,송파1동,23392,0.79,57.0,40.0,49.0,45.0,43.0,32.0
서울특별시,송파구,송파2동,18695,0.53,57.0,29.0,32.0,52.0,37.0,24.0
서울특별시,송파구,오금동,38219,1.65,56.0,32.0,30.0,30.0,35.0,24.0
서울특별시,송파구,오륜동,17608,3.17,54.0,22.0,21.0,24.0,24.0,22.0
