name,phone,address,url
"교촌치킨 방화2호점","02-2666-9559","서울특별시 강서구 방화동 580-27",""
"교촌치킨 염창점","02-3662-9238","서울특별시 강서구 염창동 249-5",""
"교촌치킨 화곡본동점","02-2605-1992","서울특별시 강서구 화곡동 24-251",""
"교촌치킨 까치산역점","02-2602-1991","서울특별시 강서구 화곡동 343-62 라인씨티 1층(곰달래로 125)",""
"교촌치킨 화곡2호점","02-2692-9279","서울특별시 강서구 화곡동 400-45 1층 교촌치킨 화곡2호점",""
"교촌치킨 강서구청점","02-2699-3999","서울특별시 강서구 화곡동 986-16 1층",""
"교촌치킨 봉천3호점","02-888-2366","서울특별시 관악구 봉천동 1632-9",""
"교촌치킨 봉천2호점","02-882-1107","서울특별시 관악구 봉천동 1674-20 1층 교촌치킨",""
"교촌치킨 봉천1호점","02-882-2999","서울특별시 관악구 봉천동 861-7",""
"교촌치킨 봉천4호점","02-884-9991","서울특별시 관악구 봉천동 931-12",""
"교촌치킨 신림2호점","02-857-9992","서울특별시 관악구 신림동 1680-15 교촌치킨 신림2호점",""
"교촌치킨 신림3호점","02-877-3688","서울특별시 관악구 신림동 241-66 1층",""
"교촌치킨 신림1호점","02-867-1192","서울특별시 관악구 신림동 518-56 1층 106,107",""
"교촌치킨 신림4호점","02-851-0708","서울특별시 관악구 신림동 706-6 1층 교촌치킨 신림4호점",""
"교촌치킨 광장점","02-453-9292","서울특별시 광진구 광장동 530-44",""
"교촌치킨 구의역점","02-453-9995","서울특별시 광진구 구의동 257-70 1~2층",""
"교촌치킨 자양1호점","02-452-8593","서울특별시 광진구 자양3동 584-28 1층",""
"교촌치킨 자양2호점","02-458-1991","서울특별시 광진구 자양동 624-42",""
"교촌치킨 중곡2호점","02-453-9288","서울특별시 광진구 중곡동 24-2 1층 교촌치킨 중곡2호점",""
"교촌치킨 중곡1호점","02-446-9908","서울특별시 광진구 중곡동 243-1",""
"교촌치킨 건대점","02-462-1991","서울특별시 광진구 화양동 9-18 1층, 2층",""
"교촌치킨 고척1호점","02-2060-4940","서울특별시 구로구 개봉1동 126-4",""
"교촌치킨 개봉1호점","02-2066-9244","서울특별시 구로구 개봉동 403-159",""
"교촌치킨 동양미래대학점","02-2060-1991","서울특별시 구로구 고척동 343 고척월드메르디앙",""
"교촌치킨 남구로점","02-837-1999","서울특별시 구로구 구로동 704-38",""
"교촌치킨 구로2호점","02-854-1004","서울특별시 구로구 구로동 74-30 상가동 1, 2층 교촌치킨",""
"교촌치킨 구로디지털점","02-854-2002","서울특별시 구로구 구로동 826",""
"교촌치킨 신도림1호점","02-2675-9288","서울특별시 구로구 신도림동 648",""
"교촌치킨 오류1호점","02-2060-9277","서울특별시 구로구 오류동 10-3",""
"교촌치킨 천왕역점","02-2616-1991","서울특별시 구로구 오류동 203-1",""
"교촌치킨 항동점","02-2615-1990","서울특별시 구로구 항동 100-5 상가2동 102호",""
"교촌치킨 가산디지털점","02-865-0865","서울특별시 금천구 가산동 371-6 가산비지니스센터 2층",""
"교촌치킨 독산2동점","02-805-1991","서울특별시 금천구 독산동 1059-4 1층",""
"교촌치킨 독산1호점","02-868-8788","서울특별시 금천구 독산동 961-10",""
"교촌치킨 시흥2호점","02-806-9911","서울특별시 금천구 시흥1동 905-5",""
"교촌치킨 시흥1호점","02-806-9990","서울특별시 금천구 시흥2동 264-17",""
"교촌치킨 공릉1호점","02-974-3999","서울특별시 노원구 공릉동 338-6 영남빌딩",""
"교촌치킨 공릉2호점","02-975-9991","서울특별시 노원구 공릉동 461-1",""
"교촌치킨 공릉3호점","02-973-3330","서울특별시 노원구 공릉동 568-27 101호",""
"교촌치킨 수락산역점","02-936-1212","서울특별시 노원구 상계동 1118",""
"교촌치킨 상계보람점","02-952-7123","서울특별시 노원구 상계동 456-70 1층",""
"교촌치킨 상계4단지점","02-937-4785","서울특별시 노원구 상계동 749-5 상계주공아파트4단지상가 101호",""
"교촌치킨 석계역점","02-909-9229","서울특별시 노원구 월계동 73-13 1층",""
"교촌치킨 인덕대점","02-908-1991","서울특별시 노원구 월계동 951 상가 101호(카카오지도 참고)",""
"교촌치킨 중계1호점","02-933-9992","서울특별시 노원구 중계1동 360-9 두타빌B동1층",""
"교촌치킨 상계역점","02-3391-5599","서울특별시 노원구 중계동 137-39 정진아트리움",""
"교촌치킨 중계역점","02-978-9255","서울특별시 노원구 중계동 503",""
"교촌치킨 하계1호점","02-976-4882","서울특별시 노원구 하계1동 251 청구상가 201동 101호",""
"교촌치킨 도봉동점","02-954-8892","서울특별시 도봉구 도봉2동 623-163",""
"교촌치킨 방학점","02-956-7005","서울특별시 도봉구 방학동 659-32",""
"교촌치킨 쌍문1호점","02-955-7999","서울특별시 도봉구 방학동 741",""
"교촌치킨 쌍문역점","02-905-9292","서울특별시 도봉구 쌍문3동 88-127",""
"교촌치킨 창동점","02-905-8292","서울특별시 도봉구 창5동 296-37",""
"교촌치킨 창3동점","02-999-5222","서울특별시 도봉구 창동 568-2 빌딩",""
"교촌치킨 답십리1호점","02-2214-7782","서울특별시 동대문구 답십리동 53-50",""
"교촌치킨 용두점","02-967-1991","서울특별시 동대문구 용두동 29-1 1층 교촌치킨",""
"교촌치킨 신이문점","02-963-9998","서울특별시 동대문구 이문동 255-222",""
"교촌치킨 장안2호점","02-2249-9599","서울특별시 동대문구 장안동 375-3",""
"교촌치킨 장안1호점","02-2216-0092","서울특별시 동대문구 전농동 1-171",""
"교촌치킨 시립대점","02-2243-1560","서울특별시 동대문구 전농동 295-5 1층 우측",""
"교촌치킨 안암점","02-923-3363","서울특별시 동대문구 제기동 142-8",""
"교촌치킨 청량리역점","02-957-0001","서울특별시 동대문구 청량리동 50-14 1층 교촌치킨 청량리역점",""
"교촌치킨 경희대점","02-963-5353","서울특별시 동대문구 회기동 42-16",""
"교촌치킨 노량진점","02-816-8999","서울특별시 동작구 노량진동 37-1 1층",""
"교촌치킨 신대방삼거리점","02-823-1991","서울특별시 동작구 대방동  407-46",""
"교촌치킨 사당1호점","02-3477-9945","서울특별시 동작구 사당동 155-2",""
"교촌치킨 사당3호점","02-3471-9292","서울특별시 동작구 사당동 220-119",""
"교촌치킨 상도터널점","02-815-8833","서울특별시 동작구 상도동 159-26 1층",""
"교촌치킨 숭인점","02-765-5800","서울특별시 종로구 숭인동 183-13 1층",""
"교촌치킨 동대문1호점","02-2231-9337","서울특별시 종로구 창신동 464-6 2층",""
"교촌치킨 평창점","02-396-7942","서울특별시 종로구 평창동 158-1 107호",""
"교촌치킨 안국점","02-734-9992","서울특별시 종로구 화동 138-7",""
"교촌치킨 신당1호점","02-2237-9952","서울특별시 중구 동화동 846",""
"교촌치킨 약수점","02-2233-9917","서울특별시 중구 신당동 374-14",""
"교촌치킨 서울시청점","02-318-1992","서울특별시 중구 태평로2가 55",""
"교촌치킨 망우본동점","02-433-1993","서울특별시 중랑구 망우동 251-2",""
"교촌치킨 면목2호점","02-494-6282","서울특별시 중랑구 면목동 191-126",""
"교촌치킨 사가정역점","02-2207-6543","서울특별시 중랑구 면목동 496-14",""
"교촌치킨 면목1호점","02-494-9962","서울특별시 중랑구 면목본동 72-43 형제카공업사",""
"교촌치킨 묵동점","02-948-1992","서울특별시 중랑구 묵동 175-2 1층 교촌치킨",""
"교촌치킨 상봉1호점","02-491-9738","서울특별시 중랑구 상봉동 91-1 한국관건물1층",""
"교촌치킨 신내1호점","02-2209-9980","서울특별시 중랑구 신내동 797 상가 1층 101호 교촌치킨",""
"교촌치킨 중화점","02-433-1992","서울특별시 중랑구 중화동 304-34 1층",""
